alcohol_no,name,type,rep_ingredients,ingredients,alcohol,size,prize,etc,tags,desc,food,brewery,brewery_address,brewery_page,brewery_tel,sweet,sour,scent,body
18,감아락 25,증류주,감,"쌀, 감 증류원액",25,500,,,가을,"대봉감 천연의 달콤함을 최대한 끌어올려 색다른 맛의 감동을 선사하고 있는 배상면주가의 제품이다. 2015년 대한민국 우리술품평회 일반증류주 부문 우수상을 수상하며 맛과 품질을 인정 받았다. 아락은 아랍의 ‘아라그’, 몽골의 ‘아라케’, 만주의 ‘알키’와 같이 증류주를 부르는 세계의 공통어라고 할 수 있다. 우리나라 고려시대 평양, 안동, 제주도에서 ‘아락’이라 불려진 것이 시초이다. 느린마을 감아락 25도는 리페놀이 풍부한 대봉감을 증류해 감 특유의 향긋한 향과 달콤한 첫 맛이 특징이며, 쌀 베이스에 대봉감 천연의 달콤함을 최대한 끌어올려 색다른 맛을 자랑한다. 감의 풍부한 탄닌감을 입안 한 가득 느낄 수 있다.",견과류,배상면주가,경기도 포천시 화현면 화현리 512,https://www.soolsool.co.kr/,031-531-9300,4,0,4,4
19,감악산 산머루주,과실주,머루,"머루원액, 주정",12,360,,,,"머루는 쌍떡잎식물 갈매나무목 포도과에 속하는 덩굴식물로 우리나라, 일본, 중국 등지에 분포합니다. 감악산 산머루주는 감악산 주변 농가에서 무공해로 재배한 친환경 머루만을 사용하는 과실주입니다. 9월 경 잘 익은 머루를 수확해 줄기와 병든 머루 등 불순물을 제거한 뒤 착즙기를 이용해 제조합니다. 감악산 머루주는 친환경 재배 기술을 사용하는 데다 전통비법으로 만든 질그릇 항아리에 100% 머루만으로 술을 빚습니다. 단맛은 거의 없고 시큼하면서도 머루의 무거운 향이 입안에 오래 남습니다.","갈비, 불고기",산머루농원,경기 파주시 적성면 객현리 67-1,http://www.sanmeoru.com,031-958-4558,3,1,3,2
20,감이슬,증류주,감,감,23,375,,,과일류|가을,"감이슬""은 충청남도 논산에서 재배한 감을 활용해 만든 증류주이다. 늦가을 수확한 홍시를 와인으로 개발하기 위해 홍국균을 이용한 전문적인 발효 기술을 개발하고 고유의 풍미를 내기 위해 10여년을 연구하여 만들어낸 제품이다. 떫은 감을 홍국 균주로 당화 시켜 효모발효를 통해 얻어진 추시와인(감와인)을 1년간 저장고에서 숙성시켜 동증류기로 수차례 증류하고 자작나무숯 여과를 거쳐 얻어진 증류주이다.",양념이 되지 않은 생선찜,양촌감영농조합법인,충남 논산시 황산벌로 1075-21,https://shopping.naver.com/fresh/traditionalalcohol/stores/100294111,041-734-8910,3,1,3,4
21,감자술 13%,"약주, 청주",감자,"백미, 감자, 누룩, 효모, 정제수",13,700,,,선물,"""감자술""은 국내 유일의 감자를 주원료로 만든 약주이다. 강원도의 특산품 감자를 발효시켜 빚은 술로 감자와 곡물이 어우러져 은은한 향이 풍미를 더해 준다. 2018년에는 평창동계올림픽성공을 기념하기 위해 청와대 명절선물로 선정되기도 했다. 강원도 오대산에서 흘러내린 맑은 물 오대천과 고랭지에서 재배한 최상급 감자가 만나 강원도를 대표하는 ""감자술""이 빚어졌다.","감자전, 전골",오대서주양조,강원도 평창군 진부면 영정게길57-1,http://www.pcwine.co.kr/main/index,033-335-7609,3,0,5,2
22,강소주,증류주,쌀,"쌀, 정제수",50,"200, 1800",,,소용량,"강소주는 알코올 도수 50%의 고도주로 스트레이트로 직접 마시기 보다는 칵테일과 담금용 전용술로 제조한 술이다. 강소주로 담근술은 알코올 살균, 방부작용으로 보존성이 높고 재료의 고유 성분을 잘 추출해주어 맛과 향이 잘 우러나게 한다. 혼탁함과 침전물이 적어 고급 담금술을 만들 때 좋다. 또한 강소주를 베이스로 한 다양한 부재료를 활용하여 칵테일로 제조하여 마시면 색다른 맛을 즐길 수 있다.",,내국양조,충남 논산시 연무읍 마종로 361,https://cafe.naver.com/jumarusa,041-742-3413,2,2,4,2
23,걍즐겨,탁주,석류,"멥쌀, 찹쌀, 누룩, 석류, 히비스커스",8,600,,,이색전통주|파티|홈술|혼술,"발효시 석류즙과 히비스커스를 더해 술에 부족한 산미, 과실향을 보충했으며 베리향이 강조된 탁주이다.",,디오케이브루어리,"서울특별시 강북구 삼양로 455, 1층",https://www.instagram.com/dokbrewery/,010-2481-4707,4,1,2,2
24,겨울소주 25,증류주,쌀,"쌀, 증류원액, 효모, 효소, 정제수",25,360,,,겨울,겨울소주 25는 곡물 본연의 맛을 살리기 위해 인공첨가물 없이 빚어 인위적인 맛을 더하지 않은 자연주의 증류식소주이다. 알코올도수 25도의 비교적 가볍게 마실 수 있는 증류식소주로 곡물 향이 강하고 입안에서는 부드럽다. 100일을 숙성한 발효원주의 깊은 향을 간직하고 있는 쌀소주이다.,양념이 되어 있는 돼지볶음,두이술공방,충남 청양군 대치면 방죽골길 46-19,https://smartstore.naver.com/arirangjujo/products/4985769134,041-943-7678,2,1,4,4
25,경기전,리큐르/기타주류,보리,"보리, 맥아, 호프펠렛, 효모, 정제효소제, 정제수",5,1000,,,탄산|저도수,"""경기전""은 수줍은 붉은 빛이 매력적인 술로 국내산 보리 특유의 맛과 향이 그대로 배어 있다. 혀에 닿는 순간 고소한 비스킷의 맛, 그리고 입안에 감기는 허브의 쓴맛과 소나무에서 느껴지는 흙 내음이 조화를 이루고 있다. 제조사 전주술로시티는 3013년 설립 때부터 국산보리를 원료로 사용하여 제품을 생산하였으며 2018년부터는 전북의 무농약 보리를 사용하여 보다 자연친화적이고 맛 있는 술을 생산하고 있다.",맥주에 어울리는 모든 안주,전주술로시티,전북 전주시 완산구 동문길 99,https://shopping.naver.com/fresh/traditionalalcohol/stores/100275247,010-3677-3338,1,1,4,5
26,경산대추약주 추,"약주, 청주",대추,"찹쌀, 멥쌀, 누룩, 대추",16,375,2020 iTQi 국제우수미각상,"우리술품질 나형 인증, 전통주 체험 및 교육, 전통주 컨설팅",,"경산의 특산품인 대추의 효능을 살려 정성껏 빚어낸 경산의 대표 전통주입니다. 청아하고 은은한 색과 은은한 질감, 감미로운 맛, 그윽한 향과 함께 느껴지는 청량감이 특징인 명주로써 웰컴주, 만찬주로 추천하고 있습니다. 국내산 100%로 빚어진 경산대추약주 추는 우리술품질 나형을 인증받고, 국제식음료품평회에서 국제우수미각상을 수상한 우리 술 입니다.","전채요리, 타파스, 맑은 국물요리, 한식",미송주가,경북 경산시 진량읍 대학로 967-4,https://smartstore.naver.com/misongbrewery/products/5161443003,0507-1401-2024,3,1,4,1
27,경성과하주,"약주, 청주",쌀,"찹쌀, 누룩, 증류원액",20,375,,,파티|선물|홈술,"‘경성과하주’는 우리술을 복원, 연구·제조해온 술아원에서 기존 과하주 3종에 이어 새롭게 출시한 제품으로 고문헌에 입각해 가장 충실하게 복원한 제품이다. 찹쌀의 진한 단맛, 상큼한 과실향이 매력적이며 20도라는 비교적 높은 알코올 도수가 튀지 않을 정도로 부드러운 목 넘김과 단맛과 산도의 균형감이 좋다.","맑은 소고기국, 미역국, 계란국",술아원,경기 여주 점봉길 93-12,http://soolawon.co.kr/,070-8776-0043,2,2,3,2
28,경주교동법주,"약주, 청주",쌀,찹쌀,16,900,2016 우리술품평회 대상,중요무형문화재 제86-3호,선물|무감미료,"350년 이상의 전통을 가진 찹쌀로 빚은 약조로 기능보유자가 직접 손수 빚는 중요무형문화재 술 이다. 모두 수작업으로 이루어지므로 생산되는 양이 적다. 경주교동법주는 찹쌀로 빚은 청주라 부르기도 하는데 청주는 예로부터 겨울 술이라 하여 교동법주 역시 여름에는 술을 빚지 않는다. 찹쌀 특유의 쌉싸름한 맛과 단맛, 신맛을 느낄 수 있으며 누룩 향과 본연의 독특한 향이 잘 어우러져 있다. 술에 어떠한 처리도 하지 않기 때문에 살아있는 술로 반드시 냉장보관 해야 하며 차게 해서 먹는 것이 훨씬 좋다.","쇠고기육포, 북어포푸리, 사연지",교동법주,경북 경주시 교촌안길 19-21,http://www.kyodongbeobju.com/,054-772-2051,2,1,4,1
29,계룡백일주 40%,증류주,국화,"찹쌀, 백미, 누룩, 국화, 오미자, 진달래, 솔잎",40,600,,,,16도의 백일주를 증류시켜 만든 계룡백일주 40도는 목젖이 칼칼한 맛과 진한 감칠맛이 뛰어나 더욱 깊은 맛을 즐길수 있습니다 그 맛에 취해 자꾸 마시다 보면 신선이 되다 하여 “신선주”라고도 불리웁니다.,"갈비구이, 생선회",계룡백일주,충남 공주시 봉정동 390,https://paegilju.modoo.at/,041-853-8511,2,0,4,2
30,계룡산 산삼주 금수강산 21%,증류주,산삼,"산양산삼, 정제수, 주정",21,740,,,삼(蔘)류,"계룡산 산삼주는 해발 400m 이상의 계룡산 줄기 무공해 청정지역에서 자란 10년 전후의 산양삼을 사용하여 한 해 5천병만 한정 생산하는 제품이다. 산양삼의 그윽한 향과 모방할 수 없는 독특한 맛이 어우러진 고급 산삼주이다. 2005년 국내 최초로 산삼주를 제조하기 시작하여 현재 미국, 유럽, 동남아 지역 등에 수출되고 있다. 배양근이나 농축액 제품과는 달리 산양삼 원액을 사용하고 산양삼 1뿌리가 통째로 들어가 있다.",삼계탕,한국산삼,충남 공주시 계룡면 여서울2길 9,https://shopping.naver.com/fresh/traditionalalcohol/stores/100439678,041-854-5533,2,0,3,2
31,계룡산 산삼주 금수강산 40%,증류주,산삼,"산양산삼, 정제수, 주정",40,740,,,삼(蔘)류,"계룡산 산삼주""는 해발 400m 이상의 계룡산 줄기 무공해 청정지역에서 자란 10년 전후의 산양삼을 사용하여 한 해 5천병만 한정 생산하는 제품이다. 산양삼의 그윽한 향과 모방할 수 없는 독특한 맛이 어우러진 고급 산삼주이다. 2005년 국내 최초로 산삼주를 제조하기 시작하여 현재 미국, 유럽, 동남아 지역 등에 수출되고 있다. 배양근이나 농축액 제품과는 달리 산양삼 원액을 사용하고 산양삼 1뿌리가 통째로 들어가 있다.",삼계탕,한국산삼,충남 공주시 계룡면 여서울2길 9,https://shopping.naver.com/fresh/traditionalalcohol/stores/100439678,041-854-5533,2,0,2,5
32,고도리 레드와인 스위트,과실주,포도,포도,12,750,,2018 찾아가는 양조장,,고도리 레드와인 스위트는 농산물우수관리(GAP)인증 100% 친환경 MBA 머루포도로 만들어집니다. 포도의 당도가 가장 높은 11월 초 서리가 내리기 시작하면 수확하여 별도의 당을 첨가하지 않고 순수 발효한 와인입니다. 영천에서 자란 MBA 머루포도를 25도의 고온에서 발효시켜 2차로 젖산 발효과정을 거칩니다. 풍부한 아로마틱 향이 풍부하고 1년의 오크통 숙성으로 깊은 오크향과 과실향이 어우러진 와인입니다.,"육회, 수육, 불고기",고도리 와이너리,경북 영천시 고경면 고도리 494-3,http://고도리와인.com,054-335-3174,4,1,4,4
33,고도리 로제와인,과실주,거봉,거봉포도,12,"375, 750",,2018 찾아가는 양조장,,"화사한 핑크빛 색감이 예쁜 로제 와인으로, GAP인증을 받은 거봉 포도를 10월 중순에 수확하여 포도 껍질을 2일 동안 주스에 침용하였다가 껍질을 분리하여 화이트처럼 발효시킨 와인입니다.","연어 요리, 샐러드",고도리 와이너리,경북 영천시 고경면 고도리 494-3,http://고도리와인.com,054-335-3174,2,3,5,4
34,고도리 복숭아와인,과실주,복숭아,복숭아,6.5,750,,2018 찾아가는 양조장,이색전통주|선물|홈술|저도수,고도리 복숭아와인은 농산물우수관리(GAP)인증 100% 친환경 복숭아로 만들어집니다. 복숭아의 당도가 가장 높은 8월 말에 수확하여 별도의 당을 첨가하지 않고 순수 발효한 와인입니다. 복숭아를 발효하여 저도주로 빚은 디저트용 와인으로 끝에서 느껴지는 복숭아의 부드럽고 향긋한 맛과 향이 특징입니다.,,고도리 와이너리,경북 영천시 고경면 고도리 494-3,http://고도리와인.com,054-335-3174,3,2,3,3
35,고도리 샤인머스캣 화이트와인,과실주,샤인머스켓,"샤인머스캣, 설탕, 효모, 소브산칼륨, 메타중아황산칼륨",10.5,"375, 750",,,과일류,직접 농사지어 GAP인증받은 포도로 10월 중순 포도가 잘 익었을때 수확하여 당일 수확한 포도를 재경파쇄를 거쳐 발효 및 숙성시켜 만든 와인으로 샤인머스켓 특유의 향과 맛이 나는 와인입니다.,"흰살생선, 샐러드, 각종 안주류, 핑거푸드, 기타 육류",고도리 와이너리,경북 영천시 고경면 고도리 494-3,http://고도리와인.com,054-335-3174,2,3,3,3
36,고도리 아이스와인(아이스 375),과실주,포도,포도,12,375,,2018 찾아가는 양조장,과일류,"화려하고 풍부한 단맛의 디저트용 와인으로, 포도 알갱이가 얼어불을 때까지 기다렸다가 와인을 만들기 때문에 다른 와인에 비해 아이스와인은 들어가는 포도의 양이 많다 그만큼 귀한 와인으로 고급스러운 단맛과 진한 향을 선사한다.","과일 케이크, 애플파이 등 디저트",고도리 와이너리,경북 영천시 고경면 고도리 494-3,http://고도리와인.com,054-335-3174,4,1,5,1
37,고도리 징기스칸 브랜디,증류주,레드와인,레드와인,40,375,,2018 찾아가는 양조장,과일류,잘 숙성된 레드와인을 증류시켜 오크통에서 1년간 숙성을 거친 뒤 병입한 제품으로 향긋한 과일향과 깊은 오크향이 조화를 이루어 초주와 말주를 제거하여 숙취가 없고 맛이 깔끔합니다.,굴요리,고도리 와이너리,경북 영천시 고경면 고도리 494-3,http://고도리와인.com,054-335-3174,0,1,5,4
38,고도리 청수 와인,과실주,포도,포도,10.5,750,,2018 찾아가는 양조장,선물|홈술|저도수,"고도리 와이너리는 1322㎡(400평) 포도밭에서 매년 1.5t의 ""청수"" 포도를 수확해 1000병(750㎖들이)가량 ‘청수 와인’을 생산합니다. 8월 말 수확한 ""청수""로 포도가 상하기 전에 바로 와인을 담급니다. 포도 알맹이를 파쇄한 뒤 짠 즙에 설탕이나 증류수를 넣어 당도를 20브릭스(Brix)로 맞춰 10.5%의 알코올 도수 와인을 만듭니다. 산화와 산패를 막아주는 무수아황산 등 식품첨가물을 넣고 3일 뒤 효모를 투입, 1차 발효를 시작합니다. 1차 발효가 끝나면 효모와 찌꺼기를 거른 후 젖산발효해 풍부한 향과 부드러운 신맛을 내는 청수와인이 탄생합니다.","닭고기, 오리고기, 생선회, 해물탕, 튀김",고도리 와이너리,경북 영천시 고경면 고도리 494-3,http://고도리와인.com,054-335-3174,3,1,4,4
39,고도리 화이트와인 드라이,과실주,거봉,거봉포도,10.5,750,,2018 찾아가는 양조장,저도수,"고도리 화이트와인 드라이는 농산물우수관리(GAP)인증 100% 친환경 거봉포도로 만들어집니다.. 포도의 당도가 가장 높은 10월 말에 수확하여 별도의 당을 첨가하지 않고 순수 발효한 와인으로 풍부한 산미와 달콤한 과일향을 발산합니다. 저온에서 6개월 이상 2차 숙성을 거쳐 주석산을 제거하고 젖산 발효시켜 아로마틱한 부케향이 풍부하고 식빵향, 레몬향, 풀잎향을 맡을 수 있습니다. 고도리 화이트와인은 2011년 대한민국 우리술품평회 과실주 부문 우수상, 2015년 한국와인 베스트컬렉션 골드 수상, 2016년 대한민국 주류대상 BEST OF BEST 수상, 2017년 아시아와인트로피 실버상, 2018년 대한민국주류대상 한국와인부문 대상 등을 수상하며 뛰어난 품질을 인정 받았습니다. 깔끔하고 감미롭고 여운이 길게 남는다는 평가를 받으며 국내 최고의 와인으로 꼽히고 있습니다.",광어나 우럭 등 기름기가 적은 생선회,고도리 와이너리,경북 영천시 고경면 고도리 494-3,http://고도리와인.com,054-335-3174,3,4,5,3
